"group"	"objectID"	"neededResearches"	"posX"	"posY"	"posZ"	"posAlpha"	"posBeta"
"MESHB_C_DEFAULT,MSHB_C_EDU_Small,MSHB_C_EDU_Medium,MSHB_C_EDU_Big,MSHB_C_EDU_Ship,MSHB_C_EDU_Special,MSHB_C_EDB3x3,MSHB_C_EDB2x2,MSHB_C_EDB1x1,MSHB_C_EDBRF,MSHB_C_EDB_Special,MSHB_C_LCU_Small,MSHB_C_LCU_Medium,MSHB_C_LCU_Big,MSHB_C_LCU_Ship,MSHB_C_LCU_Special,MSHB_C_LCB3x3,MSHB_C_LCB2x2,MSHB_C_LCB1x1,MSHB_C_LCBRF,MSHB_C_LCB_Special,MSHB_C_UCSU_Small,MSHB_C_UCSU_Medium,MSHB_C_UCSU_Big,MSHB_C_UCSU_Ship,MSHB_C_UCSU_Special,MSHB_C_UCSB3x3,MSHB_C_UCSB2x2,MSHB_C_UCSB1x1,MSHB_C_UCSBRF,MSHB_C_UCSB_Special,MSHB_C_PLATOON"	MESHB_C_DEFAULT	""	0	1036831949	1069547520	0	1061997773
"MESHB_C_DEFAULT,MSHB_C_EDU_Small,MSHB_C_EDU_Medium,MSHB_C_EDU_Big,MSHB_C_EDU_Ship,MSHB_C_EDU_Special,MSHB_C_EDB3x3,MSHB_C_EDB2x2,MSHB_C_EDB1x1,MSHB_C_EDBRF,MSHB_C_EDB_Special,MSHB_C_LCU_Small,MSHB_C_LCU_Medium,MSHB_C_LCU_Big,MSHB_C_LCU_Ship,MSHB_C_LCU_Special,MSHB_C_LCB3x3,MSHB_C_LCB2x2,MSHB_C_LCB1x1,MSHB_C_LCBRF,MSHB_C_LCB_Special,MSHB_C_UCSU_Small,MSHB_C_UCSU_Medium,MSHB_C_UCSU_Big,MSHB_C_UCSU_Ship,MSHB_C_UCSU_Special,MSHB_C_UCSB3x3,MSHB_C_UCSB2x2,MSHB_C_UCSB1x1,MSHB_C_UCSBRF,MSHB_C_UCSB_Special,MSHB_C_PLATOON"	MSHB_C_EDU_Small	""	0	1036831949	1075838976	0	1061997773
"MESHB_C_DEFAULT,MSHB_C_EDU_Small,MSHB_C_EDU_Medium,MSHB_C_EDU_Big,MSHB_C_EDU_Ship,MSHB_C_EDU_Special,MSHB_C_EDB3x3,MSHB_C_EDB2x2,MSHB_C_EDB1x1,MSHB_C_EDBRF,MSHB_C_EDB_Special,MSHB_C_LCU_Small,MSHB_C_LCU_Medium,MSHB_C_LCU_Big,MSHB_C_LCU_Ship,MSHB_C_LCU_Special,MSHB_C_LCB3x3,MSHB_C_LCB2x2,MSHB_C_LCB1x1,MSHB_C_LCBRF,MSHB_C_LCB_Special,MSHB_C_UCSU_Small,MSHB_C_UCSU_Medium,MSHB_C_UCSU_Big,MSHB_C_UCSU_Ship,MSHB_C_UCSU_Special,MSHB_C_UCSB3x3,MSHB_C_UCSB2x2,MSHB_C_UCSB1x1,MSHB_C_UCSBRF,MSHB_C_UCSB_Special,MSHB_C_PLATOON"	MSHB_C_EDU_Medium	""	0	1036831949	1077936128	0	1061997773
"MESHB_C_DEFAULT,MSHB_C_EDU_Small,MSHB_C_EDU_Medium,MSHB_C_EDU_Big,MSHB_C_EDU_Ship,MSHB_C_EDU_Special,MSHB_C_EDB3x3,MSHB_C_EDB2x2,MSHB_C_EDB1x1,MSHB_C_EDBRF,MSHB_C_EDB_Special,MSHB_C_LCU_Small,MSHB_C_LCU_Medium,MSHB_C_LCU_Big,MSHB_C_LCU_Ship,MSHB_C_LCU_Special,MSHB_C_LCB3x3,MSHB_C_LCB2x2,MSHB_C_LCB1x1,MSHB_C_LCBRF,MSHB_C_LCB_Special,MSHB_C_UCSU_Small,MSHB_C_UCSU_Medium,MSHB_C_UCSU_Big,MSHB_C_UCSU_Ship,MSHB_C_UCSU_Special,MSHB_C_UCSB3x3,MSHB_C_UCSB2x2,MSHB_C_UCSB1x1,MSHB_C_UCSBRF,MSHB_C_UCSB_Special,MSHB_C_PLATOON"	MSHB_C_EDU_Big	""	0	1036831949	1079194419	0	1061997773
"MESHB_C_DEFAULT,MSHB_C_EDU_Small,MSHB_C_EDU_Medium,MSHB_C_EDU_Big,MSHB_C_EDU_Ship,MSHB_C_EDU_Special,MSHB_C_EDB3x3,MSHB_C_EDB2x2,MSHB_C_EDB1x1,MSHB_C_EDBRF,MSHB_C_EDB_Special,MSHB_C_LCU_Small,MSHB_C_LCU_Medium,MSHB_C_LCU_Big,MSHB_C_LCU_Ship,MSHB_C_LCU_Special,MSHB_C_LCB3x3,MSHB_C_LCB2x2,MSHB_C_LCB1x1,MSHB_C_LCBRF,MSHB_C_LCB_Special,MSHB_C_UCSU_Small,MSHB_C_UCSU_Medium,MSHB_C_UCSU_Big,MSHB_C_UCSU_Ship,MSHB_C_UCSU_Special,MSHB_C_UCSB3x3,MSHB_C_UCSB2x2,MSHB_C_UCSB1x1,MSHB_C_UCSBRF,MSHB_C_UCSB_Special,MSHB_C_PLATOON"	MSHB_C_EDU_Ship	""	0	1036831949	1088421888	0	1061997773
"MESHB_C_DEFAULT,MSHB_C_EDU_Small,MSHB_C_EDU_Medium,MSHB_C_EDU_Big,MSHB_C_EDU_Ship,MSHB_C_EDU_Special,MSHB_C_EDB3x3,MSHB_C_EDB2x2,MSHB_C_EDB1x1,MSHB_C_EDBRF,MSHB_C_EDB_Special,MSHB_C_LCU_Small,MSHB_C_LCU_Medium,MSHB_C_LCU_Big,MSHB_C_LCU_Ship,MSHB_C_LCU_Special,MSHB_C_LCB3x3,MSHB_C_LCB2x2,MSHB_C_LCB1x1,MSHB_C_LCBRF,MSHB_C_LCB_Special,MSHB_C_UCSU_Small,MSHB_C_UCSU_Medium,MSHB_C_UCSU_Big,MSHB_C_UCSU_Ship,MSHB_C_UCSU_Special,MSHB_C_UCSB3x3,MSHB_C_UCSB2x2,MSHB_C_UCSB1x1,MSHB_C_UCSBRF,MSHB_C_UCSB_Special,MSHB_C_PLATOON"	MSHB_C_EDU_Special	""	0	1036831949	1088421888	0	1061997773
"MESHB_C_DEFAULT,MSHB_C_EDU_Small,MSHB_C_EDU_Medium,MSHB_C_EDU_Big,MSHB_C_EDU_Ship,MSHB_C_EDU_Special,MSHB_C_EDB3x3,MSHB_C_EDB2x2,MSHB_C_EDB1x1,MSHB_C_EDBRF,MSHB_C_EDB_Special,MSHB_C_LCU_Small,MSHB_C_LCU_Medium,MSHB_C_LCU_Big,MSHB_C_LCU_Ship,MSHB_C_LCU_Special,MSHB_C_LCB3x3,MSHB_C_LCB2x2,MSHB_C_LCB1x1,MSHB_C_LCBRF,MSHB_C_LCB_Special,MSHB_C_UCSU_Small,MSHB_C_UCSU_Medium,MSHB_C_UCSU_Big,MSHB_C_UCSU_Ship,MSHB_C_UCSU_Special,MSHB_C_UCSB3x3,MSHB_C_UCSB2x2,MSHB_C_UCSB1x1,MSHB_C_UCSBRF,MSHB_C_UCSB_Special,MSHB_C_PLATOON"	MSHB_C_EDB3x3	""	0	1053609165	1091567616	0	1060320051
"MESHB_C_DEFAULT,MSHB_C_EDU_Small,MSHB_C_EDU_Medium,MSHB_C_EDU_Big,MSHB_C_EDU_Ship,MSHB_C_EDU_Special,MSHB_C_EDB3x3,MSHB_C_EDB2x2,MSHB_C_EDB1x1,MSHB_C_EDBRF,MSHB_C_EDB_Special,MSHB_C_LCU_Small,MSHB_C_LCU_Medium,MSHB_C_LCU_Big,MSHB_C_LCU_Ship,MSHB_C_LCU_Special,MSHB_C_LCB3x3,MSHB_C_LCB2x2,MSHB_C_LCB1x1,MSHB_C_LCBRF,MSHB_C_LCB_Special,MSHB_C_UCSU_Small,MSHB_C_UCSU_Medium,MSHB_C_UCSU_Big,MSHB_C_UCSU_Ship,MSHB_C_UCSU_Special,MSHB_C_UCSB3x3,MSHB_C_UCSB2x2,MSHB_C_UCSB1x1,MSHB_C_UCSBRF,MSHB_C_UCSB_Special,MSHB_C_PLATOON"	MSHB_C_EDB2x2	""	0	1053609165	1088421888	0	1060320051
"MESHB_C_DEFAULT,MSHB_C_EDU_Small,MSHB_C_EDU_Medium,MSHB_C_EDU_Big,MSHB_C_EDU_Ship,MSHB_C_EDU_Special,MSHB_C_EDB3x3,MSHB_C_EDB2x2,MSHB_C_EDB1x1,MSHB_C_EDBRF,MSHB_C_EDB_Special,MSHB_C_LCU_Small,MSHB_C_LCU_Medium,MSHB_C_LCU_Big,MSHB_C_LCU_Ship,MSHB_C_LCU_Special,MSHB_C_LCB3x3,MSHB_C_LCB2x2,MSHB_C_LCB1x1,MSHB_C_LCBRF,MSHB_C_LCB_Special,MSHB_C_UCSU_Small,MSHB_C_UCSU_Medium,MSHB_C_UCSU_Big,MSHB_C_UCSU_Ship,MSHB_C_UCSU_Special,MSHB_C_UCSB3x3,MSHB_C_UCSB2x2,MSHB_C_UCSB1x1,MSHB_C_UCSBRF,MSHB_C_UCSB_Special,MSHB_C_PLATOON"	MSHB_C_EDB1x1	""	0	1045220557	1082130432	0	1060320051
"MESHB_C_DEFAULT,MSHB_C_EDU_Small,MSHB_C_EDU_Medium,MSHB_C_EDU_Big,MSHB_C_EDU_Ship,MSHB_C_EDU_Special,MSHB_C_EDB3x3,MSHB_C_EDB2x2,MSHB_C_EDB1x1,MSHB_C_EDBRF,MSHB_C_EDB_Special,MSHB_C_LCU_Small,MSHB_C_LCU_Medium,MSHB_C_LCU_Big,MSHB_C_LCU_Ship,MSHB_C_LCU_Special,MSHB_C_LCB3x3,MSHB_C_LCB2x2,MSHB_C_LCB1x1,MSHB_C_LCBRF,MSHB_C_LCB_Special,MSHB_C_UCSU_Small,MSHB_C_UCSU_Medium,MSHB_C_UCSU_Big,MSHB_C_UCSU_Ship,MSHB_C_UCSU_Special,MSHB_C_UCSB3x3,MSHB_C_UCSB2x2,MSHB_C_UCSB1x1,MSHB_C_UCSBRF,MSHB_C_UCSB_Special,MSHB_C_PLATOON"	MSHB_C_EDBRF	""	0	1053609165	1089470464	0	1060320051
